feature,coef,direction
"者
答",0.065662001161902,towards_unknown_label_1
"者
答案",0.065662001161902,towards_unknown_label_1
"者
答案：",0.065662001161902,towards_unknown_label_1
"者
",0.065662001161902,towards_unknown_label_1
"
属性：主",0.05545424085001977,towards_unknown_label_1
属性：主要,0.05545424085001977,towards_unknown_label_1
属性：主,0.05545424085001977,towards_unknown_label_1
：主,0.05545424085001977,towards_unknown_label_1
主要,0.05545424085001977,towards_unknown_label_1
性：主要,0.05545424085001977,towards_unknown_label_1
：主要,0.05545424085001977,towards_unknown_label_1
性：主,0.05545424085001977,towards_unknown_label_1
"作者
答",0.04970532936631009,towards_unknown_label_1
"作者
答案",0.04970532936631009,towards_unknown_label_1
"作者
",0.04970532936631009,towards_unknown_label_1
"：作者
",0.04970532936631009,towards_unknown_label_1
作者,0.04970532936631009,towards_unknown_label_1
性：作者,0.04970532936631009,towards_unknown_label_1
"性：作者
",0.04970532936631009,towards_unknown_label_1
性：作,0.04970532936631009,towards_unknown_label_1
属性：作,0.04970532936631009,towards_unknown_label_1
属性：作者,0.04970532936631009,towards_unknown_label_1
"
属性：作",0.04970532936631009,towards_unknown_label_1
：作,0.04970532936631009,towards_unknown_label_1
"：作者
答",0.04970532936631009,towards_unknown_label_1
：作者,0.04970532936631009,towards_unknown_label_1
"地
答",0.04098411758637871,towards_unknown_label_1
在地,0.04098411758637871,towards_unknown_label_1
"在地
",0.04098411758637871,towards_unknown_label_1
属性：总部,0.04098411758637871,towards_unknown_label_1
"
属性：化",-0.07427964405513623,towards_known_label_0
性：化,-0.07427964405513623,towards_known_label_0
：化,-0.07427964405513623,towards_known_label_0
：化学,-0.07427964405513623,towards_known_label_0
性：化学,-0.07427964405513623,towards_known_label_0
化学,-0.07427964405513623,towards_known_label_0
属性：化学,-0.07427964405513623,towards_known_label_0
属性：化,-0.07427964405513623,towards_known_label_0
"符号
答案",-0.047281777252616244,towards_known_label_0
：化学符号,-0.047281777252616244,towards_known_label_0
：化学符,-0.047281777252616244,towards_known_label_0
性：化学符,-0.047281777252616244,towards_known_label_0
"符号
",-0.047281777252616244,towards_known_label_0
"号
答",-0.047281777252616244,towards_known_label_0
"号
答案",-0.047281777252616244,towards_known_label_0
"号
",-0.047281777252616244,towards_known_label_0
"化学符号
",-0.047281777252616244,towards_known_label_0
学符号,-0.047281777252616244,towards_known_label_0
学符,-0.047281777252616244,towards_known_label_0
"学符号
",-0.047281777252616244,towards_known_label_0
"学符号
答",-0.047281777252616244,towards_known_label_0
"符号
答",-0.047281777252616244,towards_known_label_0
化学符号,-0.047281777252616244,towards_known_label_0
化学符,-0.047281777252616244,towards_known_label_0
符号,-0.047281777252616244,towards_known_label_0
"号
答案：",-0.047281777252616244,towards_known_label_0
"都
",-0.04702525858473102,towards_known_label_0
"性：首都
",-0.04702525858473102,towards_known_label_0
"
属性：首",-0.04702525858473102,towards_known_label_0
"首都
答案",-0.04702525858473102,towards_known_label_0
